   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        6.7695615086993288E-002  0.10000000000000001       t OMH/2PI  OMA/2PI OMH OMA	CL
   2.5000000000000001E-002   7.9577471545947669E-003   7.9577471545947669E-003   5.0000000000000003E-002   5.0000000000000003E-002   9.8515189164691055E-003   9.9875026039496634E-002  t OMH/2PI  OMA/2PI OMH OMA	CL
   5.0000000000000003E-002   1.5915494309189534E-002   1.5915494309189534E-002  0.10000000000000001       0.10000000000000001        9.1029378713693362E-003   9.9500416527802588E-002  t OMH/2PI  OMA/2PI OMH OMA	CL
   7.5000000000000011E-002   2.3873241463784306E-002   2.3873241463784306E-002  0.15000000000000002       0.15000000000000002        8.6943680190543545E-003   9.8877107793604230E-002  t OMH/2PI  OMA/2PI OMH OMA	CL
  0.10000000000000001        3.1830988618379068E-002   3.1830988618379068E-002  0.20000000000000001       0.20000000000000001        8.3902152362834524E-003   9.8006657784124165E-002  t OMH/2PI  OMA/2PI OMH OMA	CL
  0.12500000000000000        3.9788735772973836E-002   3.9788735772973836E-002  0.25000000000000000       0.25000000000000000        8.1239721036807950E-003   9.6891242171064484E-002  t OMH/2PI  OMA/2PI OMH OMA	CL
  0.14999999999999999        4.7746482927568598E-002   4.7746482927568598E-002  0.29999999999999999       0.29999999999999999        7.8689577522704397E-003   9.5533648912560609E-002  t OMH/2PI  OMA/2PI OMH OMA	CL
  0.17499999999999999        5.5704230082163367E-002   5.5704230082163367E-002  0.34999999999999998       0.34999999999999998        7.6126248738113541E-003   9.3937271284737889E-002  t OMH/2PI  OMA/2PI OMH OMA	CL
  0.19999999999999998        6.3661977236758135E-002   6.3661977236758135E-002  0.39999999999999997       0.39999999999999997        7.3485996258247487E-003   9.2106099400288521E-002  t OMH/2PI  OMA/2PI OMH OMA	CL
  0.22499999999999998        7.1619724391352890E-002   7.1619724391352890E-002  0.44999999999999996       0.44999999999999996        7.0734134259266054E-003   9.0044710235267694E-002  t OMH/2PI  OMA/2PI OMH OMA	CL
  0.24999999999999997        7.9577471545947659E-002   7.9577471545947659E-002  0.49999999999999994       0.49999999999999994        6.7850970228716737E-003   8.7758256189037279E-002  t OMH/2PI  OMA/2PI OMH OMA	CL
  0.27499999999999997        8.7535218700542428E-002   8.7535218700542428E-002  0.54999999999999993       0.54999999999999993        6.4828860434555840E-003   8.5252452205950582E-002  t OMH/2PI  OMA/2PI OMH OMA	CL
  0.29999999999999999        9.5492965855137196E-002   9.5492965855137196E-002  0.59999999999999998       0.59999999999999998        6.1665576349034237E-003   8.2533561490967841E-002  t OMH/2PI  OMA/2PI OMH OMA	CL
  0.32500000000000001       0.10345071300973198       0.10345071300973198       0.65000000000000002       0.65000000000000002        5.8362063229171418E-003   7.9608379854905598E-002  t OMH/2PI  OMA/2PI OMH OMA	CL
  0.35000000000000003       0.11140846016432675       0.11140846016432675       0.70000000000000007       0.70000000000000007        5.4921697659792521E-003   7.6484218728448850E-002  t OMH/2PI  OMA/2PI OMH OMA	CL
  0.37500000000000006       0.11936620731892153       0.11936620731892153       0.75000000000000011       0.75000000000000011        5.1349583695972185E-003   7.3168886887382087E-002  t OMH/2PI  OMA/2PI OMH OMA	CL
  0.40000000000000008       0.12732395447351630       0.12732395447351630       0.80000000000000016       0.80000000000000016        4.7652079167726834E-003   6.9670670934716530E-002  t OMH/2PI  OMA/2PI OMH OMA	CL
  0.42500000000000010       0.13528170162811107       0.13528170162811107       0.85000000000000020       0.85000000000000020        4.3836491564692394E-003   6.5998314588498197E-002  t OMH/2PI  OMA/2PI OMH OMA	CL
  0.45000000000000012       0.14323944878270584       0.14323944878270584       0.90000000000000024       0.90000000000000024        3.9910875850398516E-003   6.2160996827066432E-002  t OMH/2PI  OMA/2PI OMH OMA	CL
  0.47500000000000014       0.15119719593730063       0.15119719593730063       0.95000000000000029       0.95000000000000029        3.5883895458842822E-003   5.8168308946388331E-002  t OMH/2PI  OMA/2PI OMH OMA	CL
  0.50000000000000011       0.15915494309189537       0.15915494309189537        1.0000000000000002        1.0000000000000002        3.1764723999545977E-003   5.4030230586813957E-002  t OMH/2PI  OMA/2PI OMH OMA	CL
  0.52500000000000013       0.16711269024649014       0.16711269024649014        1.0500000000000003        1.0500000000000003        2.7562973006552065E-003   4.9757104789172675E-002  t OMH/2PI  OMA/2PI OMH OMA	CL
  0.55000000000000016       0.17507043740108494       0.17507043740108494        1.1000000000000003        1.1000000000000003        2.3288635414606485E-003   4.5359612142557709E-002  t OMH/2PI  OMA/2PI OMH OMA	CL
  0.57500000000000018       0.18302818455567971       0.18302818455567971        1.1500000000000004        1.1500000000000004        1.8952037241848387E-003   4.0848744088415698E-002  t OMH/2PI  OMA/2PI OMH OMA	CL
  0.60000000000000020       0.19098593171027448       0.19098593171027448        1.2000000000000004        1.2000000000000004        1.4563793024464529E-003   3.6235775447667318E-002  t OMH/2PI  OMA/2PI OMH OMA	CL
  0.62500000000000022       0.19894367886486924       0.19894367886486924        1.2500000000000004        1.2500000000000004        1.0134764599511888E-003   3.1532236239526827E-002  t OMH/2PI  OMA/2PI OMH OMA	CL
  0.65000000000000024       0.20690142601946401       0.20690142601946401        1.3000000000000005        1.3000000000000005        5.6760269406726021E-004   2.6749882862458697E-002  t OMH/2PI  OMA/2PI OMH OMA	CL
  0.67500000000000027       0.21485917317405881       0.21485917317405881        1.3500000000000005        1.3500000000000005        1.1988297470102311E-004   2.1900668709304107E-002  t OMH/2PI  OMA/2PI OMH OMA	CL
