 I  J	QI  QM	QL  CP	DS7	DS9
           9           3   3.9693324093247586        5.2337859863634054E-002  -5.2049459798146945E-003 -0.66206544129204570       0.12359212765284334       0.99233310233118965     
          10           3   3.9650926279487679        4.3150279389893215E-002  -9.3917583745857333E-002 -0.53530980632619196       0.13182385306402544       0.99127315698719198     
           1           4  -3.9964178488459026       -1.6602895087779158E-002  -9.7230547476415463E-002  0.27097348176313224       -4.2311624751576460E-002 -0.99910446221147542     
           2           4  -3.9948755219492291       -2.2069678002759704E-002  -9.6486082412821195E-002  0.35617520732238794       -5.0602349334587959E-002 -0.99871888048730717     
           3           4  -3.9910991421344919       -2.6863266483106413E-002  -9.8601641380711980E-002  0.49126588066390109       -6.6674413033283281E-002 -0.99777478553362287     
           4           4  -3.9779225452613423       -2.7273704162578211E-002  -7.1223396241021739E-002  0.65332104370436839      -0.10492027446516437      -0.99448063631533545     
           5           4  -3.8789846038036240       -1.9294826440114102E-002  0.50236914275719480       0.98534461586172450      -0.24411555197467993      -0.96974615095090599     
           6           4   3.9896149946030373        6.6766053254045128E-003  0.82238211120161486      -0.44755547178124777       -7.2012236303374680E-002  0.99740374865075909     
           7           4   3.9903658213001854        1.9867742889262990E-002  0.31506533704266970      -0.57121348272559613        6.9363450479744640E-002  0.99759145532504634     
           8           4   3.9767769394953874        3.1108063337923111E-002  0.13386111145910304      -0.77001731350183444       0.10760029434721023       0.99419423487384684     
           9           4   3.9693324093247586        3.2044539457088010E-002  -1.2865022895489655E-002 -0.76532538805490258       0.12359212765284332       0.99233310233118954     
          10           4   3.9650926279487679        2.5700586782786985E-002 -0.11816846701984379      -0.60973332365630961       0.13182385306402544       0.99127315698719198     
           1           5  -3.9964178488459026       -5.4482634542470654E-003 -0.10843177345590514       0.29249059550634054       -4.2311624751576460E-002 -0.99910446221147542     
           2           5  -3.9948755219492291       -7.3847087133038633E-003 -0.10455198146351344       0.38899665455612964       -5.0602349334587952E-002 -0.99871888048730717     
           3           5  -3.9910991421344919       -9.0981073144396490E-003 -0.10145133726975286       0.53533903796999938       -6.6674413033283281E-002 -0.99777478553362298     
           4           5  -3.9779225452613423       -8.9782189932928191E-003  -6.4759955558055318E-002  0.70152240740059313      -0.10492027446516436      -0.99448063631533545     
           5           5  -3.8789846038036240       -6.1705611604945263E-003  0.54430118839515795        1.0338069657441871      -0.24411555197467993      -0.96974615095090599     
           6           5   3.9896149946030373        2.3474155648410943E-003  0.86965722173861049      -0.48786575332662191       -7.2012236303374694E-002  0.99740374865075931     
           7           5   3.9903658213001854        6.5982083448183496E-003  0.33284936401566961      -0.61377332997856116        6.9363450479744640E-002  0.99759145532504634     
           8           5   3.9767769394953874        1.0402499895338674E-002  0.14104035344353266      -0.82566822375798543       0.10760029434721023       0.99419423487384684     
           9           5   3.9693324093247586        1.0612740544100857E-002  -1.7155090063623032E-002 -0.81621141332269009       0.12359212765284334       0.99233310233118965     
          10           5   3.9650926279487679        8.4612314496246843E-003 -0.13061371402666602      -0.64602786300762882       0.13182385306402544       0.99127315698719209     
           1           6  -3.9964178488459026        5.4482634542460514E-003 -0.10843177345590024       0.29249059550634660       -4.2311624751576460E-002 -0.99910446221147542     
           2           6  -3.9948755219492291        7.3847087133045710E-003 -0.10455198146351187       0.38899665455612947       -5.0602349334587952E-002 -0.99871888048730717     
           3           6  -3.9910991421344919        9.0981073144400099E-003 -0.10145133726975274       0.53533903796999904       -6.6674413033283281E-002 -0.99777478553362298     
           4           6  -3.9779225452613423        8.9782189932932355E-003  -6.4759955558055346E-002  0.70152240740059180      -0.10492027446516436      -0.99448063631533545     
           5           6  -3.8789846038036240        6.1705611604945818E-003  0.54430118839515618        1.0338069657441862      -0.24411555197467993      -0.96974615095090599     
           6           6   3.9896149946030373       -2.3474155648414738E-003  0.86965722173860971      -0.48786575332662047       -7.2012236303374694E-002  0.99740374865075931     
           7           6   3.9903658213001854       -6.5982083448186670E-003  0.33284936401566995      -0.61377332997856038        6.9363450479744640E-002  0.99759145532504634     
           8           6   3.9767769394953874       -1.0402499895339147E-002  0.14104035344353280      -0.82566822375798521       0.10760029434721023       0.99419423487384684     
           9           6   3.9693324093247586       -1.0612740544101438E-002  -1.7155090063621620E-002 -0.81621141332269032       0.12359212765284334       0.99233310233118965     
          10           6   3.9650926279487679       -8.4612314496236851E-003 -0.13061371402666216      -0.64602786300763371       0.13182385306402544       0.99127315698719209     
           1           7  -3.9964178488459026        1.6602895087779304E-002  -9.7230547476410412E-002  0.27097348176313674       -4.2311624751576460E-002 -0.99910446221147542     
           2           7  -3.9948755219492291        2.2069678002760010E-002  -9.6486082412819724E-002  0.35617520732238633       -5.0602349334587959E-002 -0.99871888048730717     
           3           7  -3.9910991421344919        2.6863266483106826E-002  -9.8601641380712618E-002  0.49126588066389920       -6.6674413033283281E-002 -0.99777478553362287     
           4           7  -3.9779225452613423        2.7273704162577780E-002  -7.1223396241022377E-002  0.65332104370436772      -0.10492027446516437      -0.99448063631533545     
           5           7  -3.8789846038036240        1.9294826440114068E-002  0.50236914275719358       0.98534461586172395      -0.24411555197467993      -0.96974615095090599     
           6           7   3.9896149946030373       -6.6766053254043202E-003  0.82238211120161420      -0.44755547178124622       -7.2012236303374680E-002  0.99740374865075909     
