 I  J	QI  QM	QL  CP	DS7	DS9
          10           7  0.99127315698719198       -4.2422949442508448E-003  -4.8673239631927608E-002 -0.87267455046575981       0.13182385306402544       0.99127315698719198     
           1           8 -0.99910446221147564        6.9488378818880056E-003  -4.1857961847001197E-002  0.40234827328215461       -4.2311624751576460E-002 -0.99910446221147553     
           2           8 -0.99871888048730728        9.5832278190433259E-003  -3.5826756336636442E-002  0.56034920820658252       -5.0602349334587966E-002 -0.99871888048730728     
           3           8 -0.99777478553362298        1.1859169816327536E-002  -2.6156772159040876E-002  0.76165717802280164       -6.6674413033283267E-002 -0.99777478553362287     
           4           8 -0.99448063631533556        1.0991099991322794E-002  -5.3296048366168174E-003  0.92351445753583350      -0.10492027446516437      -0.99448063631533545     
           5           8 -0.96974615095090599        7.3877718137214735E-003  0.18821289723564932        1.2476645942303097      -0.24411555197467996      -0.96974615095090599     
           6           8  0.99740374865075931       -3.6748530915880449E-003  0.27322400877767017      -0.70795975448268167       -7.2012236303374680E-002  0.99740374865075920     
           7           8  0.99759145532504634       -8.7212972865496202E-003  0.10083373169955653      -0.82402915495292928        6.9363450479744654E-002  0.99759145532504645     
           8           8  0.99419423487384684       -1.2992016781347031E-002   4.1003797700676921E-002  -1.0786862630701037       0.10760029434721023       0.99419423487384684     
           9           8  0.99233310233118965       -1.2888963696843211E-002  -9.5004934331588738E-003  -1.0421163248626313       0.12359212765284334       0.99233310233118965     
          10           8  0.99127315698719198       -1.0474944046684262E-002  -4.4854702446015637E-002 -0.81672007581516703       0.13182385306402544       0.99127315698719198     
           1           9 -0.99910446221147564        1.3185218599193407E-002  -3.1394843533385348E-002  0.32810359707750097       -4.2311624751576460E-002 -0.99910446221147553     
           2           9 -0.99871888048730728        1.7479925635540974E-002  -2.8265948309907345E-002  0.44375241901286772       -5.0602349334587966E-002 -0.99871888048730728     
           3           9 -0.99777478553362298        2.1094132193888029E-002  -2.4146094134264603E-002  0.60124757162900200       -6.6674413033283267E-002 -0.99777478553362287     
           4           9 -0.99448063631533556        2.0776856632947652E-002  -1.1926437261324439E-002  0.75551212552022762      -0.10492027446516439      -0.99448063631533545     
           5           9 -0.96974615095090599        1.5227948904453569E-002  0.15070346018612402        1.0829910361769548      -0.24411555197467999      -0.96974615095090611     
           6           9  0.99740374865075931       -5.6405157155794442E-003  0.23171996177968440      -0.55606283745106921       -7.2012236303374694E-002  0.99740374865075931     
           7           9  0.99759145532504634       -1.6073437103298487E-002   8.6048510862965111E-002 -0.67220799272573450        6.9363450479744640E-002  0.99759145532504645     
           8           9  0.99419423487384684       -2.3911119234868886E-002   3.5497953934688166E-002 -0.88561867883523893       0.10760029434721026       0.99419423487384695     
           9           9  0.99233310233118965       -2.4305261581506039E-002  -5.5378484291112393E-003 -0.86902891571017871       0.12359212765284332       0.99233310233118954     
          10           9  0.99127315698719198       -1.9843538892145116E-002  -3.4709519514418169E-002 -0.69007082683843757       0.13182385306402544       0.99127315698719198     
           1          10 -0.99910446221147564        8.3955655129877224E-003  -1.7015543087772294E-002  0.18972460525826929       -4.2311624751576460E-002 -0.99910446221147553     
           2          10 -0.99871888048730728        1.0881429848504100E-002  -1.8348611764151642E-002  0.24658251911243445       -5.0602349334587959E-002 -0.99871888048730717     
           3          10 -0.99777478553362298        1.2883190472525305E-002  -2.0260826065849707E-002  0.35178852581123471       -6.6674413033283267E-002 -0.99777478553362275     
           4          10 -0.99448063631533556        1.3054017678434266E-002  -1.8280972887833889E-002  0.48186216301488272      -0.10492027446516437      -0.99448063631533545     
